time,usd,type
1496065524,523.9849499,eth
1496065524,8733.082498,eth
1496065543,3493.232999,eth
1496065543,174.66165,eth
1496065575,87.33082498,eth
1496065641,15.7195485,eth
1496065641,17.466165,eth
1496065678,174.66165,eth
1496065678,183.3947325,eth
1496065678,172.9150335,eth
1496065712,142698.568,eth
1496065776,174.66165,eth
1496065776,1571.95485,eth
1496065815,87330.82498,eth
1496065826,31.43909699,eth
1496065871,673.9412072,eth
1496065879,174.66165,eth
1496065933,8733.082498,eth
1496065985,876.1028362,eth
1496066042,8698.150168,eth
1496066110,1100.368395,eth
1496066110,523.9849499,eth
1496066110,29.69248049,eth
1496066296,1804.018547,eth
1496066356,279.4586399,eth
1496065524,873.3082498,eth
1496065524,1786.788679,eth
1496065524,174.66165,eth
1496065524,550.1841974,eth
1496065524,87.13657835,eth
1496065524,873.3082498,eth
1496065524,174.5798908,eth
1496065543,1313.455608,eth
1496065575,1746.514878,eth
1496065641,2183.270625,eth
1496065641,3493.232999,eth
1496065641,177.0052914,eth
1496065641,2338.405102,eth
1496065641,174.66165,eth
1496065641,16947.50654,eth
1496065642,53.14428701,eth
1496065678,197.799461,eth
1496065678,2637.390914,eth
1496065678,873.2066282,eth
1496065712,1746.6165,eth
1496065776,436.6541249,eth
1496065776,174.5600283,eth
1496065776,122.263155,eth
1496065776,174.66165,eth
1496065796,174.66165,eth
1496065815,855.8420848,eth
1496065815,1098.657628,eth
1496065815,6113.157749,eth
1496065815,506.5187849,eth
1496065815,174.66165,eth
1496065818,523.9849499,eth
1496065871,1309.962375,eth
1496065871,5065.187849,eth
1496065871,698.6465998,eth
1496065879,98.68383223,eth
1496065913,174.66165,eth
1496065933,34.85057087,eth
1496065963,2270.522859,eth
1496065963,15.7195485,eth
1496065963,1762.336048,eth
1496066012,33.18571349,eth
1496066012,234.0466109,eth
1496066042,611.3157749,eth
1496066053,0.017466165,eth
1496066065,174.66165,eth
1496066110,178.7282503,eth
1496066110,3493.232999,eth
1496066110,174.5600283,eth
1496066175,349.3232999,eth
1496066175,1047.868278,eth
1496066175,1746.6165,eth
1496066175,1417.386227,eth
1496066182,174.5600283,eth
1496066207,83.83759198,eth
1496066207,4972.638788,eth
1496066207,1135.300725,eth
1496066240,174.66165,eth
1496066240,174.3916231,eth
1496066261,174.5600283,eth
1496066288,2206.068892,eth
1496066308,1.604108313,eth
1496066356,17.466165,eth
1496066356,1030.503735,eth
1496066356,349.3232999,eth
1496066356,70.7704029,eth
1496064929,87.91936818,eth
1496064632,175.8387364,eth
1496064632,351.6774727,eth
1496064697,1322.436875,eth
1496064701,3340.935991,eth
1496064715,1.758387364,eth
1496064811,175.8387364,eth
1496064907,4571.807145,eth
1496064907,1.758387364,eth
1496064907,7033.549455,eth
1496064929,6816.571616,eth
1496064929,397.0325726,eth
1496064929,1406.709891,eth
1496064974,175.8387364,eth
1496064974,4395.968409,eth
1496064974,87.91936818,eth
1496065005,1.758387364,eth
1496065010,15649.64754,eth
1496065114,50465.71734,eth
1496065118,369.2613464,eth
1496065118,184.6306732,eth
1496065168,1072.616292,eth
1496065168,9175.483663,eth
1496065168,175.8387364,eth
1496065168,87.91936818,eth
1496065168,175.8387364,eth
1496065177,1758.387364,eth
1496065197,175.8387364,eth
1496065261,527.5162091,eth
1496065269,15579.31204,eth
1496065305,175.8387364,eth
1496065305,175.8387364,eth
1496065305,195.1809974,eth
1496065313,52.75162091,eth
1496065352,142.4293765,eth
1496065385,879.1936818,eth
1496065385,5057.737234,eth
1496065385,2444.158435,eth
1496065449,3868.4522,eth
1496065449,316.5097255,eth
1496065482,1.758387364,eth
1496065482,1758.387364,eth
1496064632,2285.903573,eth
1496064632,4395.968409,eth
1496064632,87919.26588,eth
1496064632,175.8387364,eth
1496064697,1406.778308,eth
1496064697,2268.319699,eth
1496064697,1758.387364,eth
1496064697,175.8387364,eth
1496064715,525.4745612,eth
1496064725,1598.022436,eth
1496064769,350.4466016,eth
1496064769,2302.784091,eth
1496064769,10022.70055,eth
1496064769,87.81855983,eth
1496064769,17.58387364,eth
1496064769,597.6654252,eth
1496064769,718.8553497,eth
1496064796,1758.387364,eth
1496064796,1705.811581,eth
1496064796,175.7313145,eth
1496064796,4747.714299,eth
1496064796,4395.968409,eth
1496064811,8967.775555,eth
1496064811,84.57194181,eth
1496064907,1758.387364,eth
1496064907,351.6774727,eth
1496064907,70.33549455,eth
1496064907,4041.669988,eth
1496064907,4923.34027,eth
1496064907,1758.279942,eth
1496064907,703.2475236,eth
1496064907,9671.1305,eth
1496064907,5275.162091,eth
1496064907,175.8387364,eth
1496064907,662.6023136,eth
1496064907,884.4688439,eth
1496064929,175.8387364,eth
1496064929,1649.21595,eth
1496064929,1770.595267,eth
1496064929,8791.936818,eth
1496064974,175.8387364,eth
1496064974,263.7581045,eth
1496064974,3516.953912,eth
1496064992,39.03619947,eth
1496065005,177.4158496,eth
1496065005,184.6306732,eth
1496065005,351.6774727,eth
1496065036,18.72423127,eth
1496065036,175.7313145,eth
1496065036,52.75162091,eth
1496065092,879.1936818,eth
1496065092,86.16098082,eth
1496065092,1758.302147,eth
1496065114,702.1851872,eth
1496065142,4041.592443,eth
1496065142,662.7574034,eth
1496065142,580.26783,eth
1496065142,1649.138405,eth
1496065168,879.3433362,eth
1496065168,348.8919322,eth
1496065168,0.351677473,eth
1496065185,3516.774727,eth
1496065218,70.33549455,eth
1496065218,6154.253466,eth
1496065218,1758.387364,eth
1496065225,2110.064836,eth
1496065225,1098.992102,eth
1496065269,175.8387364,eth
